file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\spark\v3.4\spark\src\test\java\org\apache\iceberg\spark\TestSparkSchemaUtil.java,org.apache.iceberg.spark.TestSparkSchemaUtil,class,5,5,0,5,6,1,0,13,4,0.625,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,6,27,0,1,0,0,0,9,7,6,1,6,2,0,0,0,55,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\aliyun\src\main\java\org\apache\iceberg\aliyun\oss\OSSInputStream.java,org.apache.iceberg.aliyun.oss.OSSInputStream,class,9,12,3,9,21,3,0,31,0,0.6942148,0.60714287,1.0,11,0,5,3,1,2,8,0,0,0,11,2,0,11,0,0,7,0,4,98,6,0,4,1,4,9,9,25,2,15,3,0,0,0,63,0,3
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\avro\ValueReaders.java,org.apache.iceberg.avro.ValueReaders$DecimalReader,innerclass,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,12,1,0,0,0,0,0,0,3,0,3,0,0,0,0,13,10,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\delta-lake\src\main\java\org\apache\iceberg\delta\SnapshotDeltaLakeTable.java,org.apache.iceberg.delta.SnapshotDeltaLakeTable,interface,6,11,5,6,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.17\flink\src\main\java\org\apache\iceberg\flink\data\FlinkOrcReaders.java,org.apache.iceberg.flink.data.FlinkOrcReaders$StringReader,innerclass,5,5,0,5,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,19,10,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\actions\BaseSnapshotUpdateAction.java,org.apache.iceberg.actions.BaseSnapshotUpdateAction,class,6,8,2,6,3,2,0,5,1,0.33333334,0.33333334,0.33333334,3,0,1,0,2,0,3,1,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1024,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.16\flink\src\main\java\org\apache\iceberg\flink\sink\RowDataTaskWriterFactory.java,RowDataPartitionedFanoutWriter,innerclass,5,6,1,5,2,1,0,3,0,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,2,0,0,2,0,0,2,0,0,13,1,0,0,0,0,0,0,2,0,2,0,0,0,0,20,10,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\inmemory\InMemoryOutputFile.java,org.apache.iceberg.inmemory.InMemoryOutputFile,class,9,14,5,9,11,2,0,8,2,0.625,0.4642857,0.75,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,2,0,1,75,5,0,1,0,1,4,0,5,1,4,1,0,1,0,79,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\aws\src\test\java\org\apache\iceberg\aws\s3\TestS3InputStream.java,org.apache.iceberg.aws.s3.TestS3InputStream,class,11,12,1,11,13,1,0,27,15,0.76666665,0.6,0.6,10,0,5,5,0,0,5,0,0,0,3,1,1,2,0,0,3,0,4,105,1,1,0,4,0,5,32,35,21,29,2,0,0,1,66,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\test\java\org\apache\iceberg\TestSnapshotManager.java,org.apache.iceberg.TestSnapshotManager,class,15,15,0,15,38,2,0,63,588,0.8888889,0.033333335,0.033333335,36,1,36,0,0,0,36,0,0,0,2,2,0,0,0,2,2,0,0,323,1,0,2,0,0,163,39,65,1,61,1,0,0,19,184,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\spark\v3.4\spark\src\main\java\org\apache\iceberg\spark\actions\BaseSnapshotUpdateSparkAction.java,org.apache.iceberg.spark.actions.BaseSnapshotUpdateSparkAction,class,4,11,5,6,3,2,0,5,1,0.33333334,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,14,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1024,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\test\java\org\apache\iceberg\TestRemoveSnapshots.java,org.apache.iceberg.TestRemoveSnapshots,class,21,22,1,21,81,2,0,137,1126,0.9583333,0.0,0.0,48,1,41,7,0,0,41,0,0,0,1,0,0,1,0,0,1,0,80,740,9,30,2,1,0,138,80,203,12,181,2,0,0,16,268,1,0
